wavelenght,n,k
6.709091199999999e-10,0.9997801,4.2780001e-05
6.7105441e-10,0.9997803,4.4929999e-05
6.711996999999999e-10,0.9997822,4.816e-05
6.7134498e-10,0.9997862,5.3160002e-05
6.714905e-10,0.9997904,5.7110999e-05
6.7163602e-10,0.9997931,6.1008999e-05
6.7178148e-10,0.9997954,6.3159998e-05
6.7192718e-10,0.9997979,5.966e-05
6.7207293e-10,0.9998007,4.9729999e-05
6.7221862e-10,0.9998031,4.1219999e-05
6.7236437e-10,0.9998053,3.7689999e-05
6.7272928e-10,0.9998035,3.2330001e-05
6.7309447e-10,0.9997978,3.0520001e-05
6.734600799999999e-10,0.99979459999,3.0220001e-05
6.738260899999999e-10,0.99979240001,2.956e-05
6.741924999999999e-10,0.99979099999,2.944e-05
6.7455933e-10,0.9997899,2.949e-05
6.749265e-10,0.99978899999,2.937e-05
6.752940799999999e-10,0.999788,2.8529999e-05
6.7536772e-10,0.9997879,2.8189999e-05
6.756620699999999e-10,0.99978709999,2.8230001e-05
6.8880001e-10,0.9997704,3.028e-05
7.2931772e-10,0.99973869999,3.7229998e-05
7.7490002e-10,0.99970449999,4.631e-05
8.2656002e-10,0.99966510001,5.8320002e-05
8.550621e-10,0.99964309999,6.577e-05
8.8559999e-10,0.99961960001,7.4479998e-05
8.9843478e-10,0.9996097,7.8379999e-05
9.116471e-10,0.9995993,8.2480001e-05
9.184000099999999e-10,0.99959319999,8.4680003e-05
9.2525373e-10,0.99958589999,8.8790002e-05
9.2871912e-10,0.99958159999,9.2939998e-05
9.3011261e-10,0.9995797,9.609e-05
9.3081081e-10,0.9995793,9.8639997e-05
9.3151018e-10,0.9995802,0.000102
9.3221047e-10,0.999583,0.0001046
9.3249098e-10,0.99958420001,0.0001051
9.3291199e-10,0.99958559999,0.000104
9.336145e-10,0.9995871,0.0001024
9.3431812e-10,0.99958810001,0.0001025
9.3502272e-10,0.99958949999,0.0001027
9.3572831e-10,0.99958969999,9.8539997e-05
9.3643513e-10,0.9995876,9.5989999e-05
9.3714288e-10,0.99958410001,9.6989999e-05
9.3785179e-10,0.99958140001,9.8390003e-05
9.3856169e-10,0.9995801,0.0001026
9.3927281e-10,0.99958080001,0.0001059
9.399849199999999e-10,0.99958440001,0.0001101
9.4069802e-10,0.99958880001,0.00011
9.4141229e-10,0.9995909,0.000105
9.4212772e-10,0.99958919999,0.000102
9.4284408e-10,0.99958599999,0.0001027
9.4356172e-10,0.99958209999,0.0001043
9.442803e-10,0.9995757,0.0001075
9.4456808e-10,0.99957479999,0.0001124
9.4485597e-10,0.9995752,0.0001197
9.451439799999998e-10,0.9995791,0.00013099999
9.4543229e-10,0.99958890001,0.0001399
9.4572082e-10,0.9996022,0.0001488
9.4600947e-10,0.9996135,0.00015370001
