wavelenght,n,k
1.11e-06,1.2997,1.76e-06
1.12e-06,1.2995,1.82e-06
1.1299999999999998e-06,1.2993,2.04e-06
1.1399999999999999e-06,1.2991,2.25e-06
1.1499999999999998e-06,1.299,2.29e-06
1.16e-06,1.2988,3.04e-06
1.1699999999999998e-06,1.2986,3.84e-06
1.18e-06,1.2984,4.77e-06
1.1899999999999998e-06,1.2982,5.76e-06
1.2e-06,1.298,6.71e-06
1.2099999999999998e-06,1.2979,8.66e-06
1.22e-06,1.2977,1.02e-05
1.2299999999999999e-06,1.2975,1.13e-05
1.24e-06,1.2973,1.22e-05
1.2499999999999999e-06,1.2971,1.29e-05
1.26e-06,1.2969,1.32e-05
1.27e-06,1.2967,1.35e-05
1.28e-06,1.2965,1.33e-05
1.29e-06,1.2963,1.32e-05
1.3e-06,1.2961,1.32e-05
1.31e-06,1.2959,1.31e-05
1.32e-06,1.2957,1.32e-05
1.33e-06,1.2955,1.32e-05
1.34e-06,1.2953,1.34e-05
1.35e-06,1.2951,1.39e-05
1.3600000000000001e-06,1.2949,1.42e-05
1.37e-06,1.2946,1.48e-05
1.38e-06,1.2944,1.58e-05
1.3899999999999998e-06,1.2941,1.74e-05
1.4e-06,1.2939,1.98e-05
1.4099999999999998e-06,1.2937,3.442e-05
1.42e-06,1.2934,5.959e-05
1.4299999999999999e-06,1.2931,0.0001028
1.44e-06,1.2929,0.0001516
1.449e-06,1.2927,0.000203
1.46e-06,1.2924,0.0002942
1.471e-06,1.2921,0.0003987
1.481e-06,1.292,0.0004941
1.493e-06,1.2918,0.0005532
1.504e-06,1.2916,0.0005373
1.515e-06,1.2914,0.0005143
1.527e-06,1.2912,0.0004908
1.538e-06,1.2909,0.0004594
1.563e-06,1.2903,0.0003858
1.5869999999999998e-06,1.2897,0.0003105
1.6129999999999998e-06,1.289,0.0002659
1.6499999999999999e-06,1.2879,0.0002361
1.6799999999999998e-06,1.287,0.0002046
1.6999999999999998e-06,1.2863,0.0001875
1.73e-06,1.2853,0.000165
1.7599999999999999e-06,1.2843,0.0001522
1.8e-06,1.2828,0.0001411
1.83e-06,1.2816,0.0001302
1.84e-06,1.2811,0.000131
1.85e-06,1.2807,0.0001339
1.8549999999999998e-06,1.2805,0.0001377
1.86e-06,1.2802,0.0001432
1.87e-06,1.2797,0.0001632
1.89e-06,1.2788,0.0002566
1.905e-06,1.278,0.0004081
1.923e-06,1.2771,0.000706
1.9419999999999998e-06,1.2762,0.001108
1.961e-06,1.2756,0.001442
1.98e-06,1.275,0.001614
2e-06,1.2744,0.00164
2.0199999999999997e-06,1.2736,0.001566
2.041e-06,1.2728,0.001458
2.062e-06,1.2718,0.001267
2.0830000000000002e-06,1.2707,0.001023
2.1049999999999998e-06,1.2694,0.0007586
2.13e-06,1.2677,0.0005255
2.1499999999999997e-06,1.2663,0.0004025
2.17e-06,1.2648,0.0003235
2.1899999999999998e-06,1.2633,0.0002707
2.22e-06,1.2609,0.0002228
2.24e-06,1.2591,0.0002037
2.245e-06,1.2587,0.0002026
2.25e-06,1.2582,0.0002035
2.2599999999999995e-06,1.2573,0.0002078
2.27e-06,1.2564,0.0002171
2.29e-06,1.2545,0.0002538
2.31e-06,1.2525,0.0003138
2.33e-06,1.2504,0.0003858
2.35e-06,1.2482,0.0004591
2.37e-06,1.2459,0.0005187
2.39e-06,1.2435,0.0005605
2.4100000000000002e-06,1.2409,0.0005956
2.43e-06,1.2382,0.0006259
2.4599999999999997e-06,1.2337,0.000682
2.4999999999999998e-06,1.227,0.000753
2.52e-06,1.2232,0.0007685
2.5499999999999997e-06,1.2169,0.0007647
2.565e-06,1.2135,0.0007473
2.58e-06,1.2097,0.0007392
2.5899999999999998e-06,1.2071,0.0007437
2.6e-06,1.2043,0.0007543
2.62e-06,1.1983,0.0008059
2.675e-06,1.1776,0.001367
2.725e-06,1.1507,0.003508
2.778e-06,1.1083,0.01346
2.817e-06,1.0657,0.03245
2.8330000000000002e-06,1.0453,0.04572
2.849e-06,1.0236,0.06287
2.865e-06,1.0001,0.08548
2.882e-06,0.9747,0.1198
2.8989999999999997e-06,0.9563,0.169
2.915e-06,0.9538,0.221
2.9329999999999997e-06,0.9678,0.276
2.95e-06,0.9873,0.312
2.967e-06,1.0026,0.347
2.985e-06,1.018,0.388
3.003e-06,1.039,0.438
3.021e-06,1.0722,0.493
3.0399999999999997e-06,1.1259,0.554
3.0579999999999998e-06,1.2089,0.612
3.077e-06,1.3215,0.625
3.096e-06,1.4225,0.593
3.1150000000000002e-06,1.4933,0.539
3.1349999999999996e-06,1.5478,0.491
3.155e-06,1.597,0.438
3.1749999999999997e-06,1.6336,0.372
3.195e-06,1.6477,0.3
3.2149999999999997e-06,1.6405,0.238
3.236e-06,1.6248,0.193
3.257e-06,1.6108,0.158
3.279e-06,1.5905,0.121
3.2999999999999997e-06,1.5714,0.103
3.3219999999999997e-06,1.5559,0.0836
3.345e-06,1.5396,0.0668
3.3669999999999997e-06,1.5241,0.05312
3.39e-06,1.5086,0.04286
3.4129999999999998e-06,1.4949,0.03523
3.436e-06,1.4827,0.02887
3.46e-06,1.471,0.02347
3.484e-06,1.4604,0.01921
3.5089999999999998e-06,1.4502,0.01586
3.5339999999999995e-06,1.4411,0.01326
3.559e-06,1.4328,0.0113
3.624e-06,1.4146,0.008146
3.732e-06,1.3924,0.006672
3.775e-06,1.385,0.006966
3.847e-06,1.375,0.008248
3.969e-06,1.3623,0.01112
4.099e-06,1.3526,0.01471
4.2389999999999996e-06,1.3447,0.01867
4.348e-06,1.3406,0.02411
4.387e-06,1.3401,0.02656
4.444e-06,1.3412,0.0299
4.505e-06,1.3444,0.03179
4.547e-06,1.3473,0.0309
4.5599999999999995e-06,1.3482,0.03007
4.58e-06,1.3491,0.02883
4.719e-06,1.347,0.0194
4.904e-06,1.3379,0.01347
4.9999999999999996e-06,1.3325,0.0124
5.0999999999999995e-06,1.3268,0.0122
5.2e-06,1.3212,0.01302
5.262999999999999e-06,1.3176,0.0138
5.4e-06,1.31,0.01683
5.556e-06,1.3013,0.02232
5.714e-06,1.2933,0.03256
5.746999999999999e-06,1.2917,0.03539
5.78e-06,1.2906,0.03883
5.814e-06,1.2902,0.0427
5.848e-06,1.2904,0.04643
5.882e-06,1.2915,0.05045
6.061e-06,1.3015,0.06439
6.135e-06,1.3083,0.0656
6.2499999999999995e-06,1.3152,0.0636
6.288999999999999e-06,1.3167,0.06265
6.328999999999999e-06,1.3178,0.0617
6.3689999999999995e-06,1.3187,0.06101
6.41e-06,1.3194,0.06031
6.451999999999999e-06,1.3201,0.05964
6.493999999999999e-06,1.3207,0.05899
6.578999999999999e-06,1.3214,0.0578
6.667e-06,1.3219,0.057
6.756999999999999e-06,1.3229,0.0568
6.897e-06,1.3242,0.05428
7.042e-06,1.3244,0.05161
7.142999999999999e-06,1.3236,0.0494
7.246e-06,1.3229,0.0484
7.353e-06,1.3218,0.046
7.4629999999999995e-06,1.32,0.0444
7.575999999999999e-06,1.3183,0.0429
7.692e-06,1.3158,0.04041
7.812e-06,1.3123,0.03911
7.937e-06,1.3086,0.03819
8.065e-06,1.3047,0.0376
8.197e-06,1.3007,0.03724
8.333e-06,1.2964,0.037
8.475e-06,1.2917,0.03677
8.696e-06,1.2835,0.03654
8.929e-06,1.2735,0.03664
9.090999999999998e-06,1.2655,0.03706
9.259e-06,1.2561,0.03789
9.523999999999999e-06,1.2387,0.04026
9.804e-06,1.2151,0.0445
9.999999999999999e-06,1.1926,0.05008
1.0199999999999999e-05,1.1659,0.06461
1.031e-05,1.1501,0.075
1.042e-05,1.1323,0.088
1.0529999999999999e-05,1.1136,0.108
1.064e-05,1.0971,0.134
1.0749999999999999e-05,1.0867,0.168
1.087e-05,1.0833,0.204
1.1e-05,1.0886,0.248
1.1109999999999999e-05,1.1023,0.28
1.136e-05,1.1439,0.341
1.163e-05,1.1983,0.379
1.19e-05,1.2546,0.409
1.2199999999999998e-05,1.3194,0.422
1.2499999999999999e-05,1.3822,0.422
1.282e-05,1.4412,0.403
1.299e-05,1.4683,0.389
1.316e-05,1.4928,0.374
1.333e-05,1.5132,0.354
1.351e-05,1.53,0.335
1.37e-05,1.5458,0.315
1.3889999999999999e-05,1.5596,0.294
1.4079999999999999e-05,1.5701,0.271
1.4289999999999999e-05,1.5775,0.246
1.471e-05,1.5762,0.198
1.5149999999999999e-05,1.5637,0.164
1.538e-05,1.5559,0.152
1.563e-05,1.5481,0.142
1.613e-05,1.5353,0.128
1.639e-05,1.5302,0.125
1.667e-05,1.5294,0.123
1.695e-05,1.5306,0.116
1.7239999999999998e-05,1.5303,0.107
1.818e-05,1.5141,0.079
1.832e-05,1.5104,0.07752
1.861e-05,1.5043,0.07455
1.887e-05,1.4982,0.072
1.923e-05,1.4939,0.076
1.9609999999999997e-05,1.4963,0.075
1.9999999999999998e-05,1.4986,0.067
2.041e-05,1.4956,0.055
2.083e-05,1.4877,0.045
2.2219999999999997e-05,1.4575,0.029
2.26e-05,1.4486,0.0275
2.305e-05,1.439,0.027
2.36e-05,1.4282,0.0273
2.46e-05,1.4102,0.0289
2.4999999999999998e-05,1.403,0.03
2.6e-05,1.3854,0.034
2.857e-05,1.3404,0.05122
3.1e-05,1.2969,0.08615
3.3329999999999994e-05,1.2641,0.1348
3.4479999999999995e-05,1.253,0.1615
3.564e-05,1.2445,0.1895
3.7e-05,1.2371,0.2227
3.824e-05,1.2317,0.2528
3.96e-05,1.2243,0.2853
4.1139999999999996e-05,1.2054,0.324
4.276e-05,1.1742,0.3945
4.358e-05,1.1549,0.4521
4.458e-05,1.1496,0.5535
4.5499999999999995e-05,1.1853,0.6782
4.615e-05,1.2543,0.7684
4.671e-05,1.3474,0.8254
4.736e-05,1.4725,0.8458
4.8e-05,1.5874,0.8158
4.878e-05,1.6841,0.7414
5.003e-05,1.7505,0.6191
5.128e-05,1.7649,0.5353
5.2749999999999995e-05,1.7668,0.478
5.35e-05,1.7687,0.4599
5.424e-05,1.7792,0.4468
5.4999999999999995e-05,1.7955,0.4214
5.574e-05,1.8052,0.386
5.6399999999999995e-05,1.8041,0.3508
5.6999999999999996e-05,1.794,0.3196
5.7459999999999995e-05,1.7805,0.2981
5.8399999999999997e-05,1.741,0.2659
5.9289999999999996e-05,1.693,0.2569
5.9999999999999995e-05,1.661,0.2785
6.1e-05,1.6419,0.3076
6.125e-05,1.6396,0.3146
6.25e-05,1.6372,0.3471
6.378e-05,1.6471,0.3748
6.467e-05,1.6596,0.3902
6.557999999999999e-05,1.6754,0.4024
6.654999999999999e-05,1.6945,0.4115
6.759999999999999e-05,1.7167,0.4167
6.9e-05,1.7466,0.4167
7.053e-05,1.778,0.4089
7.3e-05,1.8185,0.383
7.5e-05,1.8419,0.3543
7.629e-05,1.8504,0.334
7.999999999999999e-05,1.8617,0.2944
8.297e-05,1.8669,0.2679
8.499999999999999e-05,1.8688,0.2519
8.68e-05,1.8699,0.239
9.08e-05,1.8698,0.214
9.517e-05,1.8681,0.1913
9.999999999999999e-05,1.8654,0.1706
0.00011999999999999999,1.8499,0.1151
0.00015999999999999999,1.8268,0.06684
0.00020999999999999998,1.8114,0.04282
0.0003,1.7989,0.02549
0.0005,1.7908,0.01405
0.0013,1.7868,0.005173
0.005,1.7861,0.001337
0.019,1.7861,0.0003574
0.039,1.7861,0.0001839
0.061,1.7861,0.0001294
0.086,1.7861,0.0001058
0.11,1.7861,9.675e-05
0.13999999999999999,1.7861,9.36e-05
0.18,1.7861,9.613e-05
0.24,1.7861,0.0001066
0.33999999999999997,1.7861,0.0001312
0.5399999999999999,1.7861,0.0001895
1.0,1.7861,0.0003348
2.0,1.7861,0.0006596
