wavelenght,n,k
1.7500000000000002e-05,2.44,0.198
1.8500000000000002e-05,2.44,0.199
1.96e-05,2.45,0.2
2.07e-05,2.45,0.2
2.19e-05,2.46,0.202
2.32e-05,2.46,0.203
2.46e-05,2.47,0.204
2.6e-05,2.47,0.204
2.76e-05,2.51,0.204
2.9199999999999998e-05,2.51,0.205
3.09e-05,2.52,0.205
3.27e-05,2.53,0.206
3.46e-05,2.53,0.206
3.66e-05,2.54,0.206
3.88e-05,2.55,0.206
4.100000000000001e-05,2.55,0.207
4.3400000000000005e-05,2.56,0.207
4.6e-05,2.56,0.209
4.8700000000000005e-05,2.57,0.211
5.1500000000000005e-05,2.58,0.214
5.45e-05,2.59,0.217
5.77e-05,2.59,0.217
6.11e-05,2.6,0.216
6.47e-05,2.61,0.216
6.85e-05,2.61,0.22
7.25e-05,2.62,0.223
7.67e-05,2.62,0.227
8.120000000000001e-05,2.63,0.23
8.6e-05,2.64,0.234
9.1e-05,2.65,0.24
9.63e-05,2.66,0.245
0.00010200000000000001,2.67,0.251
0.00010800000000000001,2.68,0.252
0.000114,2.69,0.254
0.000121,2.7,0.256
0.00012800000000000002,2.71,0.258
0.000135,2.73,0.258
0.000143,2.73,0.256
0.000152,2.74,0.26
0.000161,2.75,0.268
0.00017,2.77,0.269
0.00017999999999999998,2.78,0.263
0.00019099999999999998,2.79,0.264
0.000202,2.8,0.274
0.000214,2.82,0.279
0.000226,2.83,0.278
0.000239,2.84,0.279
0.000253,2.86,0.283
0.000268,2.88,0.282
0.000284,2.9,0.285
0.0003,2.93,0.276
